"Y" "X1" "X2" "X3" "X4" "X5"
3.7 7.58 56.7 20.8 88 97
2.8 9.97 58.2 16.5 76.5 90
4.2 8.88 51.5 10.1 86.9 305
6.2 10.15 51.9 16.4 59.2 568
5.7 11.18 51 18.8 55.9 595
4.5 9.61 52.4 6.9 87.2 487
1.6 8.82 58.2 3.8 51.7 80
5.1 10.3 59.6 27.8 88.9 175
4.1 10.47 53.2 5.7 69.1 196
4.4 10.02 49.5 8.3 93 265
5 9.78 52.3 17.6 95.9 270
4.3 7.65 47.1 16.4 65.7 318
5.3 8.15 54.9 12.3 79.8 99
4.8 9.84 62.2 12 82.3 600
4.4 11.65 54.5 18.6 96.1 248
5.3 11.77 54.1 17.3 56 196
2.9 8.86 51.3 9.5 87.5 100
4.3 9.89 45.2 11.8 108.7 190
2 7.08 52 12.3 56.4 87
2.7 7.14 57.6 13.1 92.6 92
5.6 8.95 53.7 18.9 122.8 147
4.1 9.35 53.8 15.9 80.9 833
6.6 13.95 65.9 15.6 133.5 356
5.1 9.76 50.9 21.9 97 150
4.5 10.05 52 36.7 87.5 184
4.3 9.23 51.6 11.6 42.6 620
6.5 19.56 59.9 17.2 113.7 306
2.9 10.79 44.2 2.6 56.6 461
4.5 6.7 48.6 13 80.8 76
4.9 11.07 53.2 28.5 122 768
5.6 11.48 57.6 20.3 82 252
3 11.2 45 7 78.9 130
5.7 11.8 53.8 9.1 116.9 571
5 11.03 49.9 19.7 102.1 318
2.9 8.9 49.7 12.7 86.9 52
4.5 11.46 56.9 15.6 97.7 191
2.5 8.54 56.1 27 82.5 98
3.4 10.42 58 8 59 119
5.8 9.5 49.3 42 70.9 98
4.8 10.24 49 36.3 112.6 195
5.4 7.93 64.1 7.5 98.1 68
6.3 9.74 54.4 11.4 76.1 221
6.3 8.84 56.3 29.6 82.6 85
3.4 8.45 38.8 12.9 85 235
7.8 12.07 43.7 52.4 105.3 157
6.4 11.62 53.9 25.5 99.2 133
4.6 9.68 57.8 16.7 79 186
3.1 8.63 54 8.4 56.2 76
4.1 9.05 51.2 20.5 79.8 195
2.9 7.91 52.8 11.9 79.5 477
4.7 8.77 54.5 5.2 47 143
5.4 11.18 45.7 60.5 85.8 640
4.8 12.01 52.8 10.8 96.9 298
2.3 7.95 51.8 4.6 54.9 163
2 8.93 56 6.2 72.5 95
5.5 11.08 50.2 18.6 63.6 387
1.4 7.14 51.7 4.1 45.7 115
4.7 10.72 53.8 23.2 94.1 113
3.9 11.15 56.5 7.7 73.9 281
5.5 7.63 52.1 11.6 61.1 197
3.7 8.48 51.1 12.1 92.8 166
3.9 10.73 50.6 19.3 101 445
4.2 7.53 42 23.1 98.9 95
2.9 10.8 63.9 1.6 57.4 130
5.6 10.12 51.7 14.9 79.1 362
